,name,current_rating,peak_rating,current_streak,best_streak
1679,Kyle Nelson,1733.6197028777174,1817.5603394872542,-1,3
554,Kyle Noke,1524.6245663233892,1935.5772567450922,-3,3
1732,Kyle Prepolec,1217.9421773821064,1390.530925537424,-3,0
1689,Kyle Stewart,1218.5523969339258,1287.3560620721216,-2,0
596,Kyle Watson,1512.061783781362,1736.1119303476282,-1,1
1835,Kyler Phillips,1945.262277735761,2048.2885622921294,-1,3
955,Kyoji Horiguchi,1967.4867619113163,1967.4867619113163,3,4
938,Kyung Ho Kang,1607.2284616687762,1827.77975095444,-2,3
689,Lance Benoist,1713.8385886050953,1882.5575854562308,1,1
24,Lance Gibson,1360.3599892988498,1360.3599892988498,-1,0
1375,Lando Vannata,1486.6066746501738,1863.0385637477873,-2,1
2238,Landon Quinones,1249.4215440242751,1369.617900594224,-2,0
1773,Lara Procopio,1512.6135005750073,1646.174211964153,-1,1
1154,Larissa Pacheco,1203.6218009809454,1291.510028548089,-2,0
1653,Laureano Staropoli,1396.1140563701495,1872.6409501774885,-4,2
1590,Lauren Mueller,1386.2711706994723,1770.9492817922744,-3,1
1131,Lauren Murphy,1749.3845962486516,1777.5499999943652,-1,5
744,Lavar Johnson,1643.570493302661,1873.3192807652204,-2,2
1665,Leah Letson,1363.2976610535015,1594.444770466196,-1,1
1003,Leandro Issa,1539.701135046724,1755.7071274880057,-2,2
919,Leandro Silva,1637.8344006948346,1687.043300727293,-2,3
120,Lee Murray,1818.8736408939426,1818.8736408939426,1,1
86,Leigh Remedios,1360.3599892988498,1360.3599892988498,-1,0
1251,Leo Kuntz,1320.0869085037768,1360.3599892988498,-2,0
1171,Leon Edwards,2282.683896389894,2499.1930638802132,-2,12
303,Leonard Garcia,1147.5827718467126,1629.0607710863353,-5,1
1339,Leonardo Guimaraes,1230.4218801131851,1293.729093768904,-2,0
809,Leonardo Mafra,1419.1056268162479,1536.88490010515,-1,1
1186,Leonardo Morales,1239.6618643294269,1360.3599892988498,-2,0
913,Leonardo Santos,1680.8097513049122,2098.923479430555,-3,7
1780,Lerone Murphy,2235.498440873228,2235.498440873228,8,8
1054,Leslie Smith,1607.9267149730476,1607.9267149730476,2,2
1249,Levan Makashvili,1570.9004255398233,1629.5802627684582,-1,1
1265,Lewis Gonzalez,1269.6320459053577,1269.6320459053577,-1,0
1066,Li Jingliang,1899.1410214310795,1996.0204870318262,-2,4
1778,Liana Jojua,1218.9516899071525,1362.0488422363267,-2,1
1981,Liang Na,888.2375914211599,1163.7070984699465,-4,0
1924,Liliya Shakirova,1344.4202101898484,1344.4202101898484,-1,0
1407,Lina Lansberg,1453.3979326546016,1692.1762132103113,-4,2
1207,Lisa Ellis,1240.2391341892903,1360.3599892988498,-2,0
2012,Liudvik Sholinian,1249.4057660486633,1392.5609166154893,-2,0
1638,Livinha Souza,1405.861007063384,1658.3131872010063,-2,2
861,Liz Carmouche,1684.026586204901,1714.7401331671008,-1,2
154,Lodune Sincaid,1360.3599892988498,1360.3599892988498,-1,0
282,Logan Clark,1736.1119303476282,1736.1119303476282,1,1
2172,Loik Radzhabov,1602.1340529533854,1736.1119303476282,-1,1
1805,Loma Lookboonmee,1640.8484198096505,1640.8484198096505,4,4
2354,Lone'er Kavanagh,1793.524016003802,1793.524016003802,2,2
1975,Loopy Godinez,1673.8322971331581,1706.4719278612026,1,4
898,Lorenz Larkin,1904.5936620934351,1904.5936620934351,2,2
1934,Louis Cosce,1279.8505288195875,1360.3599892988498,-2,0
725,Louis Gaudinot,1353.6300647379007,1574.336351657618,-2,1
1004,Louis Smolka,1524.449714262656,1958.423513717566,-2,4
1359,Luan Chagas,1580.9080544508338,1727.8460758496728,-1,1
2145,Luan Lacerda,1237.049101498336,1406.1760854724216,-2,0
1733,Luana Carolina,1634.4617623889303,1634.4617623889303,3,3
1982,Luana Pinheiro,1455.3948390406858,1647.7715776932805,-4,3
2224,Luana Santos,1739.1188147722353,1827.9529635295216,1,3
2123,Lucas Alexander,1309.7962262901433,1569.908484622584,-2,1
2087,Lucas Almeida,1622.0017924624249,1818.802084254827,-1,1
852,Lucas Martins,1686.909712663493,1775.2258186085778,1,3
2342,Lucas Rocha,1374.515827023843,1374.515827023843,-1,0
1461,Lucie Pudilova,1320.350858522123,1659.7531004093014,-3,2
528,Lucio Linhares,1367.095883551787,1383.6293061467363,-2,0
1904,Ludovit Klein,1846.6808291789148,1877.6200270077984,-1,6
210,Luigi Fioravanti,1527.8542112237737,1666.9713019433757,-1,2
1641,Luigi Vendramini,1376.9210645382548,1626.026404022982,-2,1
2396,Luis Gurule,1152.5470147587916,1152.5470147587916,-1,0
1324,Luis Henrique,1340.65194592536,1679.2976128134453,-3,2
2292,Luis Pajuelo,1348.4457445521548,1348.4457445521548,-1,0
1607,Luis Pena,1715.3489220740646,1817.4058256243416,1,2
687,Luis Ramos,1302.834631903639,1360.3599892988498,-2,0
1973,Luis Saldana,1591.4826746626434,1666.20665662157,1,1
368,Luiz Cane,1542.305303941591,1833.5395606106251,-2,3
997,Luiz Dutra,1323.4035193065793,1487.0071676157268,-2,0
2106,Lukasz Brzeski,1386.4153626122784,1536.2212827126968,-2,1
1260,Lukasz Sajewski,1203.5639597942816,1329.8491736996918,-3,0
886,Luke Barnatt,1672.1305805368438,1987.021854991149,-3,3
319,Luke Caudillo,1128.1870437524979,1240.8616845951647,-2,0
187,Luke Cummo,1431.314384873821,1668.4717652004122,-2,2
1473,Luke Jumeau,1647.8069694646558,1732.4661756902203,-1,1
907,Luke Rockhold,1909.2958247505155,2376.343058044733,-3,5
1327,Luke Sanders,1461.6085865496145,1968.3852415068027,-2,1
1058,Luke Zachrich,1433.4730971809176,1584.99963471099,-1,1
1274,Lyman Good,1839.2774928250947,1941.4616757349286,-1,1
293,Lyoto Machida,2060.4497439214565,2214.501418305884,2,8
351,Mac Danzig,1550.1507012298052,1818.2639096252258,-3,2
628,Maciej Jewtuszko,1254.7323979012128,1254.7323979012128,-1,0
645,Mackens Semerzier,1546.7163077115374,1736.1119303476282,-1,1
1582,Mackenzie Dern,1864.6441994231031,1864.6441994231031,2,4
1662,Macy Chiasson,1757.872450833788,1826.358185139276,-1,3
1511,Mads Burnell,1475.6052981895584,1524.791223565185,-1,1
767,Magnus Cedenblad,1732.7494956305586,1890.6876084930045,-1,4
1588,Magomed Ankalaev,2326.0275574371653,2326.0275574371653,12,12
2319,Magomed Gadzhiyasulov,1383.3928923822784,1570.400890488911,-1,1
1258,Magomed Mustafaev,1783.9697086599256,1982.9478995811048,-1,2
2092,Maheshate,1393.5106684105062,1735.49742131685,-1,1
1573,Maia Stevenson,1360.3599892988498,1360.3599892988498,-1,0
589,Maiquel Falcao,1905.4180494379236,1905.4180494379236,1,1
993,Mairbek Taisumov,1900.2854578985034,1990.5029992371512,-1,6
2331,Mairon Santos,1894.7501465161545,1894.7501465161545,3,3
1791,Makhmud Muradov,1802.2427386107545,1937.8481390523812,1,3
1795,Maki Pitolo,1177.6719435394884,1416.2229789213116,-4,1
1221,Makwan Amirkhani,1636.2494318786626,1908.7145220918364,-2,3
1873,Malcolm Gordon,1304.8645547597607,1621.767457747786,-3,2
2400,Malcolm Wellmaker,1824.1763874918663,1824.1763874918663,2,2
1817,Mallory Martin,1258.0935994057934,1455.324764639721,-2,1
2006,Mana Martinez,1472.9601618821564,1542.961254188931,-1,1
2014,Mandy Bohm,1207.3656737075123,1207.3656737075123,1,1
1954,Manel Kape,1920.4904988681328,1920.4904988681328,2,4
1579,Manny Bermudez,1654.889348807223,1843.2573435095212,-2,3
2233,Manolo Zecchini,1360.3599892988498,1360.3599892988498,-1,0
1947,Manon Fiorot,2152.170670718305,2253.108915453751,-1,7
2347,Mansur Abdul-Malik,1845.8406340471543,1845.8406340471543,3,3
842,Manuel Rodriguez,1360.3599892988498,1360.3599892988498,-1,0
2083,Manuel Torres,1902.9052755931987,1946.1499373528668,1,3
325,Manvel Gamburyan,1542.158635740412,1654.539926694536,-2,2
2267,MarQuel Mederos,1738.568893731302,1738.568893731302,3,3
1518,Mara Romero Borella,1281.0689317618467,1736.1119303476282,-4,1
1412,Marc Diakiese,1599.1501637198357,1827.905708012393,1,3
1731,Marc-Andre Barriault,1651.1761965063506,1692.0839460550474,1,2
1451,Marcel Fortuna,1456.3613468761002,1734.9993234080503,-2,1
1527,Marcelo Golm,1281.7511800474217,1635.8455545305892,-3,1
813,Marcelo Guimaraes,1382.8351314045772,1514.4826021577514,-1,1
1964,Marcelo Rojo,1204.042868758078,1325.0409504258384,-3,0
1166,Marcin Bandel,1201.249958992598,1296.347062941565,-2,0
1415,Marcin Held,1514.0286809545921,1514.0286809545921,1,1
1580,Marcin Prachnio,1489.1199677685286,1563.3695853424124,-1,2
1348,Marcin Tybura,2029.5980296959756,2029.5980296959756,2,5
1318,Marcin Wrzosek,1447.3915292662846,1447.3915292662846,-1,0
